title,company,location,link
데이터 분석가 (Business Intelligence Analyst),코스닥 상장 중견 게임기업,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c1037225077ca4da
[전문연구요원] 상시,네이버,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b79c2ae536063b01
Data Scientist,Boston Consulting Group,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ce6747e77c861c46
Python 웹프로그램 엔지니어,이진솔루션,인천 서구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e2dfb5ede005951f
Developer / Designer recruit,마이뮤직테이스트,서울 논현동,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=55a19c92c845685e
[Search & Clova] Clova AI 인재,네이버,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=92bd400e3b5306ba
Data Scientist,Supercell,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=554c2e55cc985488
"Partner Engineer, Google Assistant",Google,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c6398dbbd3c4f4d9
Bioinformatics/Data Analysis 석/박사,LG생활건강,서울특별시,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c11254033badb5b2
Python활용 데이터 사이언티스트 신입/경력 정규직,폴리데이터랩,성남 수정구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=0a7b8ae3649ef5b9
2020년 해외 R&D 석/박사 및 산학장학생,LG유플러스,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=995f796d49d7095c
